feature,importance
neighbor_y_minus_neighbor_pred_mean,29.83061332470666
neighbor_lookback_means_std_raw,25.037106249351435
neighbor_y_minus_vanilla_mean,23.66507706205883
neighbor_age_mean,21.46720336388307
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_lookback_stds_mean_raw,0.0
neighbor_lookback_means_mean_raw,0.0
neighbor_lookback_stds_std_raw,0.0
same_user_ratio,0.0
query_mean,0.0
query_std,0.0
neighbor_y_minus_neighbor_pred_between_std,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
candidate_minus_vanilla_std,0.0
candidate_minus_vanilla_mean,0.0
