feature,importance
candidate_minus_vanilla_std,37.436085393438724
query_std,23.55781402347689
neighbor_y_minus_neighbor_pred_between_std,21.711025648533717
neighbor_lookback_means_mean_raw,17.295074934550666
neighbor_age_std,0.0
neighbor_weight_std,0.0
neighbor_weight_max,0.0
distance_mean,0.0
neighbor_lookback_stds_mean_raw,0.0
neighbor_lookback_stds_std_raw,0.0
neighbor_age_mean,0.0
same_user_ratio,0.0
query_mean,0.0
neighbor_lookback_means_std_raw,0.0
neighbor_y_minus_neighbor_pred_mean,0.0
neighbor_y_minus_neighbor_pred_within_std_mean,0.0
neighbor_y_minus_vanilla_within_std_mean,0.0
neighbor_y_minus_vanilla_between_std,0.0
neighbor_y_minus_vanilla_mean,0.0
candidate_minus_vanilla_mean,0.0
